tempo_ms,angulo_deg,u_pct,referencia
3918,0.39,-1.22,0.00
3929,0.38,-1.21,0.00
3938,0.38,-1.26,0.00
3948,0.38,-1.27,0.00
3958,0.39,-1.28,0.00
3969,0.38,-1.26,0.00
3978,0.39,-1.31,0.00
3988,0.39,-1.26,0.00
3998,0.38,-1.26,0.00
4009,0.38,-1.27,0.00
4019,0.38,-1.25,0.00
4028,0.38,-1.30,0.00
4038,0.38,-1.26,0.00
4049,0.38,-1.31,0.00
4059,0.38,-1.26,0.00
4069,0.38,-1.30,0.00
4078,0.38,-1.34,0.00
4088,0.38,-1.33,0.00
4099,0.39,-1.33,0.00
4109,0.38,-1.28,0.00
4118,0.39,-1.34,0.00
4128,0.38,-1.28,0.00
4139,0.38,-1.31,0.00
4149,0.38,-1.33,0.00
4159,0.39,-1.40,0.00
4168,0.39,-1.36,0.00
4179,0.39,-1.33,0.00
4189,0.39,-1.31,0.00
4199,0.39,-1.29,0.00
4208,0.38,-1.28,0.00
4219,0.38,-1.23,0.00
4229,0.38,-1.37,0.00
4239,0.38,-1.39,0.00
4249,0.38,-1.34,0.00
4258,0.38,-1.37,0.00
4269,0.38,-1.32,0.00
4279,0.38,-1.37,0.00
4289,0.39,-1.37,0.00
4299,0.39,-1.38,0.00
4309,0.39,-1.36,0.00
4319,0.39,-1.41,0.00
4329,0.39,-1.36,0.00
4339,0.39,-1.39,0.00
4349,0.39,-1.35,0.00
4359,0.39,-1.43,0.00
4369,0.39,-1.34,0.00
4379,0.39,-1.42,0.00
4390,0.39,-1.38,0.00
4399,0.39,-1.36,0.00
4409,0.39,-1.36,0.00
4419,0.39,-1.35,0.00
4429,0.39,-1.42,0.00
4439,0.39,-1.41,0.00
4449,0.39,-1.48,0.00
4459,0.39,-1.44,0.00
4469,0.39,-1.43,0.00
4480,0.39,-1.40,0.00
4489,0.39,-1.42,0.00
4499,0.39,-1.40,0.00
4509,0.39,-1.36,0.00
4520,0.39,-1.39,0.00
4529,0.39,-1.41,0.00
4539,0.39,-1.36,0.00
4549,0.38,-1.36,0.00
4560,0.38,-1.40,0.00
4570,0.38,-1.43,0.00
4579,0.38,-1.44,0.00
4589,0.38,-1.41,0.00
4599,0.38,-1.46,0.00
4610,0.38,-1.37,0.00
4619,0.38,-1.38,0.00
4629,0.38,-1.43,0.00
4639,0.38,-1.44,0.00
4650,0.38,-1.53,0.00
4660,0.38,-1.48,0.00
4669,0.38,-1.42,0.00
4679,0.38,-1.43,0.00
4690,0.38,-1.45,0.00
4700,0.38,-1.47,0.00
4710,0.38,-1.44,0.00
4719,0.38,-1.47,0.00
4729,0.38,-1.47,0.00
4740,0.38,-1.50,0.00
4750,0.38,-1.49,0.00
4760,0.38,-1.47,0.00
4769,0.38,-1.51,0.00
4780,0.38,-1.49,0.00
4790,0.39,-1.49,0.00
4800,0.39,-1.49,0.00
4809,0.38,-1.47,0.00
4820,0.38,-1.46,0.00
4830,0.38,-1.52,0.00
4840,0.39,-1.52,0.00
4850,0.39,-1.56,0.00
4860,0.39,-1.53,0.00
4870,0.39,-1.49,0.00
4880,0.39,-1.46,0.00
4890,0.38,-1.42,0.00
4901,0.38,-1.51,0.00
4910,0.38,-1.50,0.00
4920,0.39,-1.59,0.00
4930,0.39,-1.52,0.00
4940,0.39,-1.53,0.00
4950,0.39,-1.56,0.00
4960,0.39,-1.53,0.00
4970,0.39,-1.51,0.00
4980,0.39,-1.54,0.00
4991,0.39,-1.48,0.00
5001,0.38,4.35,10.00
5010,0.38,4.32,10.00
5020,0.39,4.37,10.00
5031,0.39,4.49,10.00
5040,0.39,4.56,10.00
5050,0.39,4.60,10.00
5060,0.38,4.69,10.00
5070,0.39,4.73,10.00
5081,0.39,4.80,10.00
5090,0.39,4.82,10.00
5100,0.39,4.93,10.00
5110,0.38,5.07,10.00
5121,0.38,5.11,10.00
5131,0.38,5.15,10.00
5140,0.38,5.18,10.00
5150,0.38,5.17,10.00
5161,0.38,5.30,10.00
5171,0.38,5.41,10.00
5180,0.38,5.45,10.00
5190,0.38,5.59,10.00
5201,0.37,5.65,10.00
5211,0.37,5.65,10.00
5221,0.37,5.71,10.00
5230,0.37,5.79,10.00
5240,0.38,5.78,10.00
5251,0.38,5.85,10.00
5261,0.38,5.92,10.00
5271,0.38,6.04,10.00
5280,0.38,6.11,10.00
5291,0.38,6.19,10.00
5301,0.37,6.25,10.00
5311,0.38,6.23,10.00
5320,0.37,6.36,10.00
5331,0.37,6.41,10.00
5341,0.38,6.44,10.00
5351,0.38,6.48,10.00
5360,0.38,6.58,10.00
5371,0.38,6.63,10.00
5381,0.38,6.74,10.00
5391,0.38,6.77,10.00
5401,2.19,-30.37,10.00
5410,2.16,6.38,10.00
5421,2.13,6.60,10.00
5431,2.09,6.83,10.00
5441,2.06,6.75,10.00
5451,2.03,6.59,10.00
5461,1.99,6.99,10.00
5471,1.98,6.68,10.00
5481,1.95,6.83,10.00
5491,1.92,7.12,10.00
5501,1.87,7.42,10.00
5511,1.83,7.42,10.00
5521,1.80,7.36,10.00
5531,1.78,7.14,10.00
5542,1.74,7.52,10.00
5551,1.73,7.13,10.00
5561,1.71,7.23,10.00
5571,1.69,7.38,10.00
5581,1.68,7.40,10.00
5591,1.67,7.30,10.00
5601,1.64,7.71,10.00
5611,1.62,7.67,10.00
5621,1.60,7.72,10.00
5632,1.58,7.85,10.00
5641,1.55,8.03,10.00
5651,1.53,7.91,10.00
5661,1.49,8.38,10.00
5672,1.48,8.03,10.00
5681,1.44,8.40,10.00
5691,1.42,8.32,10.00
5701,1.40,8.36,10.00
5712,1.41,7.77,10.00
5722,1.41,8.00,10.00
5731,1.39,8.36,10.00
5741,1.40,7.97,10.00
5751,1.39,8.27,10.00
5762,1.39,8.39,10.00
5771,1.37,8.72,10.00
5781,1.35,8.70,10.00
5791,1.33,8.85,10.00
5802,1.32,8.68,10.00
5812,1.30,9.10,10.00
5821,1.29,8.78,10.00
5831,1.29,8.72,10.00
5842,1.26,9.34,10.00
5852,1.27,8.74,10.00
5861,1.26,8.95,10.00
5871,1.24,9.45,10.00
5881,1.24,9.12,10.00
5892,1.23,9.18,10.00
5902,1.22,9.34,10.00
5911,1.20,9.65,10.00
5921,1.18,9.65,10.00
5932,1.16,9.79,10.00
5942,1.15,9.66,10.00
5951,1.14,9.63,10.00
5961,1.14,9.61,10.00
5972,1.13,9.89,10.00
5982,1.12,9.84,10.00
5992,1.10,10.11,10.00
6001,1.09,10.10,10.00
6012,1.06,10.34,10.00
6022,1.05,10.28,10.00
6032,1.04,10.25,10.00
6041,1.03,10.28,10.00
6051,1.04,9.95,10.00
6062,1.02,10.49,10.00
6072,1.01,10.61,10.00
6082,0.99,10.67,10.00
6091,0.98,10.57,10.00
6102,0.98,10.56,10.00
6112,0.97,10.79,10.00
6122,0.95,10.94,10.00
6132,0.93,11.13,10.00
6142,0.93,10.70,10.00
6152,0.94,10.70,10.00
6162,0.93,11.02,10.00
6172,0.90,11.57,10.00
6182,0.91,10.84,10.00
6192,0.92,10.86,10.00
6202,0.90,11.47,10.00
6212,0.87,11.70,10.00
6222,0.87,11.43,10.00
6232,0.87,11.29,10.00
6242,0.83,12.09,10.00
6252,0.83,11.47,10.00
6262,0.84,11.32,10.00
6272,0.85,11.53,10.00
6282,0.82,12.24,10.00
6292,0.81,11.95,10.00
6302,0.82,11.45,10.00
6313,0.82,11.80,10.00
6322,0.81,12.16,10.00
6332,0.82,11.79,10.00
6342,0.83,11.94,10.00
6353,0.83,12.05,10.00
6363,0.81,12.46,10.00
6372,0.79,12.65,10.00
6382,0.78,12.59,10.00
6392,0.78,12.31,10.00
6403,0.79,12.23,10.00
6412,0.79,12.38,10.00
6422,0.80,12.35,10.00
6432,0.80,12.53,10.00
6443,0.80,12.73,10.00
6453,0.79,12.85,10.00
6462,0.79,12.85,10.00
6472,0.78,13.01,10.00
6483,0.78,12.99,10.00
6493,0.78,12.86,10.00
6502,0.78,13.02,10.00
6512,0.78,13.18,10.00
6523,0.76,13.53,10.00
6533,0.77,13.09,10.00
6543,0.76,13.42,10.00
6552,0.75,13.59,10.00
6562,0.73,13.75,10.00
6573,0.73,13.45,10.00
6583,0.71,13.98,10.00
6592,0.70,13.91,10.00
6602,0.69,13.82,10.00
6613,0.71,13.42,10.00
6623,0.70,13.95,10.00
6633,0.70,13.95,10.00
6642,0.70,13.93,10.00
6653,0.70,13.93,10.00
6663,0.70,14.05,10.00
6673,0.71,14.04,10.00
6682,0.71,14.19,10.00
6693,0.71,14.08,10.00
6703,0.72,14.19,10.00
6713,0.71,14.52,10.00
6723,0.71,14.49,10.00
6732,0.71,14.45,10.00
6743,0.71,14.57,10.00
6753,0.70,14.74,10.00
6763,0.72,14.31,10.00
6772,0.73,14.60,10.00
6783,0.73,14.75,10.00
6793,0.75,14.40,10.00
6803,0.76,14.67,10.00
6813,0.78,14.62,10.00
6823,0.78,14.92,10.00
6833,0.79,14.99,10.00
6843,0.78,15.14,10.00
6853,0.79,15.08,10.00
6864,0.80,15.08,10.00
6873,0.81,15.00,10.00
6883,0.83,14.98,10.00
6893,0.84,15.13,10.00
6903,0.86,15.12,10.00
6913,0.87,15.36,10.00
6923,0.89,15.11,10.00
6933,0.90,15.36,10.00
6943,0.91,15.44,10.00
6954,0.93,15.34,10.00
6963,0.96,15.21,10.00
6973,0.96,15.78,10.00
6983,0.97,15.55,10.00
6994,0.98,15.69,10.00
7003,1.01,15.43,10.00
7013,1.05,15.29,10.00
7023,1.08,15.42,10.00
7033,1.10,15.57,10.00
7044,1.15,15.26,10.00
7053,1.17,15.70,10.00
7063,1.19,15.87,10.00
7073,1.23,15.45,10.00
7084,1.26,15.61,10.00
7094,1.29,15.70,10.00
7103,1.32,15.81,10.00
7113,1.35,15.73,10.00
7124,1.38,15.93,10.00
7134,1.42,15.74,10.00
7143,1.45,15.84,10.00
7153,1.48,16.05,10.00
7164,1.54,15.33,10.00
7174,1.58,15.80,10.00
7184,1.63,15.70,10.00
7193,1.67,15.76,10.00
7203,1.73,15.52,10.00
7214,1.78,15.72,10.00
7224,1.82,15.95,10.00
7234,1.88,15.51,10.00
7243,1.90,16.40,10.00
7254,1.93,16.38,10.00
7264,1.97,16.12,10.00
7274,2.00,16.19,10.00
7283,2.05,16.00,10.00
7294,2.09,16.11,10.00
7304,2.13,16.26,10.00
7314,2.18,15.95,10.00
7324,2.24,15.88,10.00
7334,2.26,16.67,10.00
7344,2.30,16.30,10.00
7354,2.35,16.08,10.00
7364,2.40,16.32,10.00
7373,2.44,16.30,10.00
7384,2.50,16.02,10.00
7394,2.55,16.15,10.00
7404,2.60,16.33,10.00
7414,2.64,16.46,10.00
7424,2.67,16.57,10.00
7434,2.72,16.46,10.00
7444,2.77,16.25,10.00
7454,2.82,16.26,10.00
7464,2.88,16.21,10.00
7474,2.93,16.32,10.00
7484,2.98,16.56,10.00
7494,3.01,16.68,10.00
7505,3.06,16.55,10.00
7514,3.11,16.42,10.00
7524,3.15,16.65,10.00
7534,3.20,16.51,10.00
7544,3.23,16.97,10.00
7555,3.26,16.95,10.00
7564,3.31,16.56,10.00
7574,3.35,16.88,10.00
7584,3.40,16.62,10.00
7595,3.43,16.87,10.00
7604,3.48,16.76,10.00
7614,3.54,16.51,10.00
7624,3.59,16.56,10.00
7635,3.63,17.02,10.00
7645,3.68,16.65,10.00
7654,3.72,16.93,10.00
7664,3.75,17.04,10.00
7675,3.81,16.58,10.00
7685,3.88,16.45,10.00
7694,3.91,17.04,10.00
7704,3.95,17.06,10.00
7714,3.98,17.14,10.00
7725,4.03,16.92,10.00
7735,4.09,16.67,10.00
7744,4.14,16.81,10.00
7754,4.19,16.90,10.00
7765,4.22,17.28,10.00
7775,4.25,17.27,10.00
7784,4.28,17.31,10.00
7794,4.33,16.98,10.00
7805,4.40,16.53,10.00
7815,4.44,17.00,10.00
7825,4.49,17.08,10.00
7834,4.51,17.58,10.00
7845,4.55,17.09,10.00
7855,4.59,17.24,10.00
7865,4.64,16.95,10.00
7875,4.68,17.14,10.00
7884,4.71,17.47,10.00
7895,4.74,17.50,10.00
7905,4.76,17.57,10.00
7915,4.80,17.43,10.00
7924,4.85,17.00,10.00
7935,4.90,17.19,10.00
7945,4.93,17.35,10.00
7955,4.97,17.43,10.00
7965,5.00,17.53,10.00
7975,5.03,17.62,10.00
7985,5.04,17.87,10.00
7995,5.06,17.84,10.00
8005,5.08,17.71,10.00
8014,5.11,17.72,10.00
8025,5.16,17.29,10.00
8035,5.20,17.35,10.00
8045,5.25,17.41,10.00
8055,5.28,17.53,10.00
8065,5.32,17.61,10.00
8075,5.34,17.72,10.00
8085,5.37,17.80,10.00
8095,5.38,18.05,10.00
8106,5.40,18.01,10.00
8115,5.42,18.05,10.00
8125,5.44,18.00,10.00
8135,5.46,17.87,10.00
