Tempo_s,Referencia,Saida_y,Controle_u
22.47,37.3103109825248,42.63,40.40146945497906
22.48,37.2113156771867,42.31,37.86394614580019
22.490000000000002,37.115023743194065,42.22,38.95826572750198
22.5,37.0214526508396,42.08,34.32165411799667
22.51,36.9306194147802,41.77,35.31574508585749
22.52,36.8425405903694,41.66,38.810813645153324
22.53,36.7572322700733,41.55,34.79244677530771
22.54,36.6747100799709,41.42,34.77586729598161
22.55,36.5949891763407,41.35,35.172755026986906
22.56,36.5180842423324,41.24,33.93666020322296
22.57,36.4440094847271,41.18,34.72547334964407
22.580000000000002,36.37277863078368,41.0,33.68705104125661
22.59,36.3044049251746,40.95,36.12013354314545
22.6,36.2389011270107,40.91,33.47988904553348
22.61,36.176279506956,40.88,33.235394483872966
22.62,36.1165518444324,40.88,32.98660940896913
22.63,36.0597294249167,40.89,32.321840692142494
22.64,36.005823037328,40.89,32.05256699042067
22.650000000000002,35.954842971509386,40.87,32.19039968177228
22.66,35.9067990158008,40.85,32.54125662537518
22.67,35.8617004547068,40.84,32.493643216923516
22.68,35.819556066658,40.83,32.24175791397564
22.69,35.7803741218674,40.83,32.19138493634015
22.7,35.7441623802819,40.8,31.936722261504464
22.71,35.7109280896299,40.76,32.501032325106536
22.72,35.6806779835643,40.69,32.67288578144695
22.73,35.6534182799032,40.66,33.26402502904774
22.740000000000002,35.62915467896689,40.63,32.433889031254154
22.75,35.6078923620136,40.61,32.405539781883675
22.76,35.5896359897715,40.57,32.17317371092116
22.77,35.5743897010707,40.52,32.55422544526022
22.78,35.562157111573,40.46,32.74302380449599
22.79,35.552941312601,40.4,32.93965709176436
22.8,35.5467448700667,40.33,32.938387089632336
22.81,35.5435698234998,40.24,33.14506129104015
22.82,35.5434176851755,40.16,33.565593365293886
22.830000000000002,35.5462894393431,39.98,33.3826582141117
22.84,35.5521855415549,39.9,35.46029831772189
22.85,35.5611059180958,39.83,33.48267373601816
22.86,35.5730499655135,39.77,33.30157563476644
22.87,35.5880165502503,39.69,33.11695698186951
22.88,35.6060040083757,39.62,33.54624913368835
22.89,35.6270101454205,39.54,33.372125126418446
22.900000000000002,35.651032236312304,39.44,33.60618943752771
22.91,35.678067025413,39.34,34.05435292225015
22.92,35.708110726657,39.23,34.10511387013966
22.93,35.7411590237924,39.13,34.36431600168606
22.94,35.7772070707226,38.93,34.2203904649876
22.95,35.8162494919505,38.85,36.33737618249114
22.96,35.8582803831242,38.77,33.98777714778779
22.97,35.9032933116842,38.68,34.04072665747729
22.98,35.9512813176127,38.58,34.302066713092245
22.990000000000002,36.00223691428362,38.47,34.57187919808737
23.0,36.0561520894152,38.34,34.85024563989485
23.01,36.1130183061229,38.23,35.343073442043114
23.02,36.1728265040741,38.12,35.02720494134316
23.03,36.235567100744,38.04,35.1141736401395
23.04,36.3012299927714,37.95,34.58651443863125
23.05,36.3698045574167,37.85,34.86734610225778
23.06,36.4412796541186,37.63,35.156747964154334
23.07,36.5156436261527,37.53,37.718887567675615
23.080000000000002,36.592884302388526,37.43,35.41474502398959
23.09,36.6729889991472,37.35,35.51344924473954
23.1,36.755944522158,37.26,35.20335910977769
23.11,36.8417371686143,37.16,35.50183134996921
23.12,36.9303527293275,37.06,35.808943015066134
23.13,37.0217764909799,36.96,35.918944531654915
23.14,37.1159932384755,36.88,36.031845701175094
23.150000000000002,37.21298725738754,36.81,35.73600346300878
23.16,37.3127423365038,36.74,35.63712012764617
23.17,37.4152417704685,36.65,35.74096407992144
23.18,37.5204683625198,36.57,36.259196012323805
23.19,37.6284044273237,36.52,36.17447798338165
23.2,37.7390317939024,36.38,35.67509847612191
23.21,37.8523318086576,36.33,37.63077992160278
23.22,37.9682853384876,36.28,35.93725493752191
23.23,38.0868727739986,36.23,36.04636762190013
23.240000000000002,38.20807403280804,36.19,36.15812378184101
23.25,38.3318685629401,36.14,36.06670258236338
23.26,38.4582353463144,36.11,36.38369501531447
23.27,38.5871529023235,36.1,36.09169342835498
23.28,38.7185992915027,36.07,35.7905690540226
23.29,38.8525521192878,36.05,36.303497653872334
23.3,38.9889885398636,36.04,36.21313681269263
23.31,39.1278852600988,36.03,36.11942299779895
23.32,39.2692185435697,36.02,36.22811849840514
23.330000000000002,39.41296421466995,36.03,36.33922542507052
23.34,39.5590976628065,36.05,36.04109300422589
23.35,39.7075938466808,36.07,35.9394158127761
23.36,39.8584272986537,36.06,36.039954482780374
23.37,40.0115721291947,36.08,36.76018817121125
23.38,40.167002031413,36.12,36.26535891478922
23.39,40.3246902856712,36.14,35.96109315989676
23.400000000000002,40.48460976427886,36.19,36.4705621125701
23.41,40.646732936267,36.22,35.96476632856822
23.42,40.8110318722412,36.25,36.47263594851907
23.43,40.9774782493125,36.3,36.58264940314545
23.44,41.1460433561064,36.36,36.283151768566846
23.45,41.3166980978469,36.41,36.17983347167923
23.46,41.4894130015167,36.45,36.48427723061398
23.47,41.6641582210912,36.51,36.79654582027164
23.48,41.8409035428459,36.59,36.49922289793681
23.490000000000002,42.01961839073526,36.65,36.192171003965164
23.5,42.2002718318439,36.7,36.69855720755435
23.51,42.3828325819069,36.77,37.01268287258476
23.52,42.5672690108995,36.85,36.71713001354395
23.53,42.7535491486942,36.87,36.61758576652187
23.54,42.9416406907855,36.98,37.95476074028692
23.55,43.1315110040794,37.07,36.24165325743589
23.56,43.3231271327482,37.13,36.7417462956214
23.57,43.5164558041479,37.17,37.460991248854036
23.580000000000002,43.711463434798574,37.23,37.99375310888067
23.59,43.9081161364252,37.2,37.71685129163802
23.6,44.106379722059,37.22,39.69423245878114
23.61,44.3062197121965,37.3,38.84491816928774
23.62,44.5076013410168,37.42,37.76274006113365
23.63,44.7104895626551,37.51,37.05894161304694
23.64,44.9148490575306,37.62,37.77403002633267
23.650000000000002,45.12064423872867,37.69,37.47906258177076
23.66,45.3278392584351,37.75,38.4088524065895
23.67,45.5363980144224,37.82,38.74617494650924
23.68,45.7462841565847,37.92,38.67943208785925
23.69,45.9574610935226,37.97,38.19689239476608
23.7,46.1698919991744,38.06,39.34495346141384
23.71,46.383539819494,38.12,38.67149826937419
23.72,46.5983672791729,38.15,39.41703095500877
23.73,46.8143368884065,38.21,40.181736926938626
23.740000000000002,47.03141094970148,38.34,39.73084381358674
