Tempo_s,Referencia,Saida_y,Controle_u
23.16,63.8834211835907,64.31,41.69589535887315
23.17,63.8834211835907,64.3,41.49305988948066
23.18,63.8834211835907,64.29,41.696050655088094
23.19,63.8834211835907,64.3,41.69910789069513
23.2,63.8834211835907,64.29,41.29057912630282
23.21,63.8834211835907,64.29,41.69363636190978
23.22,63.8834211835907,64.29,41.49093383251729
23.23,63.8834211835907,64.28,41.48823130312462
23.240000000000002,63.8834211835907,64.29,41.69135500873205
23.25,63.8834211835907,64.28,41.28289271433917
23.26,63.8834211835907,64.29,41.686016419946704
23.27,63.8834211835907,64.3,41.27755412555382
23.28,63.8834211835907,64.3,41.26902536116143
23.29,63.8834211835907,64.31,41.46625636176858
23.3,63.8834211835907,64.31,41.2576611273758
23.31,63.8834211835907,64.31,41.45482565798323
23.32,63.8834211835907,64.32,41.45199018859056
23.330000000000002,63.8834211835907,64.32,41.243328484198074
23.34,63.8834211835907,64.32,41.44042654480522
23.35,63.8834211835907,64.32,41.43752460541255
23.36,63.8834211835907,64.32,41.43462266601988
23.37,63.8834211835907,64.32,41.431720726627205
23.38,63.8834211835907,64.32,41.42881878723453
23.39,63.8834211835907,64.32,41.42591684784186
23.400000000000002,63.8834211835907,64.31,41.42301490844919
23.41,63.8834211835907,64.31,41.62593920405632
23.42,63.8834211835907,64.29,41.42310373466383
23.43,63.8834211835907,64.3,41.83192073527108
23.44,63.8834211835907,64.29,41.22339197087867
23.45,63.8834211835907,64.28,41.62644920648563
23.46,63.8834211835907,64.28,41.629572912093245
23.47,63.8834211835907,64.26,41.42693685270047
23.48,63.8834211835907,64.26,41.835953263307715
23.490000000000002,63.8834211835907,64.25,41.433450143915124
23.5,63.8834211835907,64.24,41.636773259522556
23.51,63.8834211835907,64.22,41.640162845129886
23.52,63.8834211835907,64.21,41.84944513573703
23.53,63.8834211835907,64.2,41.65303413134454
23.54,63.8834211835907,64.19,41.65668959695158
23.55,63.8834211835907,64.18,41.660411532559195
23.56,63.8834211835907,64.18,41.66419993816623
23.57,63.8834211835907,64.16,41.46222857877374
23.580000000000002,63.8834211835907,64.16,41.87190968938128
23.59,63.8834211835907,64.15,41.47007126998841
23.6,63.8834211835907,64.14,41.67405908559555
23.61,63.8834211835907,64.14,41.67811337120316
23.62,63.8834211835907,64.13,41.47640789181038
23.63,63.8834211835907,64.12,41.680528647417816
23.64,63.8834211835907,64.11,41.68471587302486
23.650000000000002,63.8834211835907,64.09,41.68896956863247
23.66,63.8834211835907,64.09,41.89911596923961
23.67,63.8834211835907,64.07,41.497742839847014
23.68,63.8834211835907,64.07,41.90802218045455
23.69,63.8834211835907,64.06,41.50678199106167
23.7,63.8834211835907,64.05,41.711368036668816
23.71,63.8834211835907,64.04,41.716020552276426
23.72,63.8834211835907,64.02,41.72073953788347
23.73,63.8834211835907,64.02,41.93135122849119
23.740000000000002,63.8834211835907,64.0,41.53044338909831
23.75,63.8834211835907,63.99,41.94118801970555
23.76,63.8834211835907,63.98,41.74623935531292
23.77,63.8834211835907,63.97,41.75135716092039
23.78,63.8834211835907,63.96,41.756541436527584
23.79,63.8834211835907,63.96,41.76179218213491
23.8,63.8834211835907,63.95,41.56128316274228
23.81,63.8834211835907,63.95,41.766600378349565
23.82,63.8834211835907,63.94,41.56615782895693
23.830000000000002,63.8834211835907,63.94,41.77154151456437
23.84,63.8834211835907,63.93,41.571165435171594
23.85,63.8834211835907,63.93,41.77661559077888
23.86,63.8834211835907,63.93,41.57630598138625
23.87,63.8834211835907,63.94,41.575996371993575
23.88,63.8834211835907,63.92,41.36986052760095
