Tempo_s,Referencia,Saida_y,Controle_u
75.62,34.3610263909643,22.99,32.73677573096585
75.63,34.7727767285016,23.34,33.34281883116881
75.64,35.1867879800453,23.52,30.258433407496867
75.65,35.6029724708119,23.68,33.87478564185641
75.66,36.0212419859913,23.86,34.50557504874702
75.67,36.4415077891107,24.04,34.327591787371645
75.68,36.8636806405361,24.23,34.55231666394831
75.69,37.2876708161165,24.43,34.57388384422819
75.7,37.7133881259533,24.62,34.59218639121066
75.71000000000001,38.14074193330241,24.82,35.01876897805989
75.72,38.5696411736004,25.04,35.04200342622035
75.73,38.9999943736157,25.26,34.85595400873039
75.74,39.4317096707085,25.49,35.072096398727496
75.75,39.8646948322101,25.74,35.08455967815093
75.76,40.2988572749111,26.0,34.887405641635574
75.77,40.7341040846523,26.25,34.88628127559713
75.78,41.170342036018,26.51,35.29272547250535
75.79,41.6074776121258,26.76,35.29510433534518
75.8,42.0454170245098,27.0,35.70495518726412
75.81,42.4840662330922,27.5,36.122295051402574
75.82000000000001,42.923330966238325,27.78,30.989831845906068
75.83,43.3631167408918,28.07,35.58544567411745
75.84,43.8033288827923,28.35,35.576543774950764
75.85000000000001,44.24387254675233,28.63,35.97465972343386
75.86,44.6846527370103,28.9,36.17398061143096
75.87,45.1255743276505,29.19,36.58027882353819
75.88,45.5665420830693,29.5,36.37608757814326
75.89,46.007460678506,29.81,36.161218703657916
75.9,46.4482347206207,30.11,36.34713582491396
75.91,46.8887687681182,30.4,36.739608609724044
75.92,47.3289673524105,30.69,37.13864631060118
75.93,47.7687349983206,31.0,37.33843130663949
75.94,48.2079762448149,31.32,37.12725264555027
75.95,48.6465956657656,31.64,37.1107445258518
